Host,cidade,UF,SLA,Latitude,Longitude
1023821,RIBEIRAO PRETO,SP, SP/RJ,-21.19887028,-47.80833538
1063870,BELO HORIZONTE,MG, MG/PR/MT,-19.799777,-43.997002
1018358,MARINGA,PR, MG/PR/MT,-23.418271,-51.916918
884170,SAO PAULO,SP, SP/RJ,-23.61216135,-46.61868771
1088852,SANTA RITA,PB, Regioes Metropolitanas,-7.1424525,-34.9672378
1100029,COLIDER,MT, MG/PR/MT,-10.788289,-55.447421
1085243,PACATUBA,CE, Demais Regioes,-3.891671,-38.616066
206822,TRIUNFO,RS, Regioes Metropolitanas,-29.938673,-51.718578
1044092,CANAA DOS CARAJAS,PA, Demais Regioes,-6.526705,-49.851838
600555,CONGONHAS,MG, MG/PR/MT,-20.505409,-43.853486
1024991,ITU,SP, SP/RJ,-23.2809757,-47.3066467
1046368,Sorriso,MT, MG/PR/MT,-12.861377,-55.834407
1085349,TERESINA,PI, Regioes Metropolitanas,-5.09669,-42.80215
1018947,SAO PAULO,SP, SP/RJ,-23.66979809,-46.64799891
1023312,CAMPOS NOVOS,SC, Demais Regioes,-27.39086,-51.21648
247642,PARACATU,MG, MG/PR/MT,-17.227391,-46.860489
251712,SAO CARLOS,SP, SP/RJ,-21.995889,-47.890501
1100317,UNA,BA, Demais Regioes,-15.298431,-39.073722
1050702,PARATY,RJ, SP/RJ,-23.234674,-44.709366
881724,SAO PAULO,SP, SP/RJ,-23.50319406,-46.63690242
163660,AGUAS DE LINDOIA,SP, SP/RJ,-22.47263147,-46.61788735
1030554,ARAGUATINS,TO, Demais Regioes,-5.717897,-48.156525
1028327,CAPIVARI,SP, SP/RJ,-23.027651,-47.51173
1110528,IBICARAI,BA, Demais Regioes,-14.87779,-39.479323
1050333,Telemaco Borba,PR, MG/PR/MT,-24.330549,-50.621559
108685,ITAPEVI,SP, SP/RJ,-23.53616,-46.93983
1037613,PINDAMONHANGABA,SP, SP/RJ,-22.908535,-45.419283
1020394,EUSEBIO,CE, Regioes Metropolitanas,-3.87975619,-38.46075512
1024278,FORTALEZA,CE, Regioes Metropolitanas,-3.724497,-38.551313
1041418,SAO F GUAPORE,RO, Demais Regioes,-12.060267,-63.581336
1017462,GARANHUNS,PE, Demais Regioes,-8.88203299,-36.49038298
430986,SAO BERNARDO DO CAMPO,SP, SP/RJ,-23.73963106,-46.59575529
1023889,BELEM,PA, Regioes Metropolitanas,-1.331246,-48.449535
1052759,MARIALVA,PR, MG/PR/MT,-23.4866654,-51.7989766
1044842,BARUERI,SP, SP/RJ,-23.510954,-46.879585
174289,TERESINA,PI, Regioes Metropolitanas,-5.13383,-42.796128
1055212,GUARATUBA,PR, MG/PR/MT,-25.92691961,-48.58130017
1033956,PALMAS,TO, Regioes Metropolitanas,-10.31490463,-48.32439053
1058837,AQUIRAZ,CE, Regioes Metropolitanas,-3.836412,-38.403219
1056526,GUARAPARI,ES, Regioes Metropolitanas,-20.5562831,-40.4833447
656518,CACHOEIRO DE ITAPEMIRIM,ES, Demais Regioes,-20.846692,-41.121126
115703,AGUAS DE LINDOIA,SP, SP/RJ,-22.48602841,-46.63402852
371980,ULIANOPOLIS,PA, Demais Regioes,-3.740797,-47.493943
1023286,ALMIRANTE TAMANDARE DO SUL,RS, Demais Regioes,-28.121481,-52.851056
1028228,ITAMARAJU,BA, Demais Regioes,-17.031629,-39.533018
1059414,FORTALEZA,CE, Regioes Metropolitanas,-3.74312657,-38.53673929
1048151,BELO HORIZONTE,MG, MG/PR/MT,-19.980081,-44.010989
41971,BAURU,SP, SP/RJ,-22.32612997,-49.06347957
1112366,PARATI,RJ, SP/RJ,-23.08033371,-44.69872947
1096084,PASSO FUNDO,RS, Demais Regioes,-28.292699,-52.348858
1038107,TENENTE PORTELA,RS, Demais Regioes,-27.366291,-53.766268
252948,OLIMPIA,SP, SP/RJ,-20.740313,-48.910388
1022980,SALVADOR,BA, Regioes Metropolitanas,-12.88821333,-38.44007444
1018902,ARACRUZ,ES, Demais Regioes,-19.833328,-40.271803
591262,ITUIUTABA,MG, MG/PR/MT,-18.9745946,-49.4598662
1056841,PRESIDENTE PRUDENTE,SP, SP/RJ,-22.145765,-51.414831
1045878,DIAMANTINA,MG, MG/PR/MT,-18.23745831,-43.59570182
1113361,SAO JOSE DA VITORIA,BA, Demais Regioes,-15.079143,-39.338476
1021005,SAO PAULO,SP, SP/RJ,-23.677604,-46.761125
1058299,APUCARANA,PR, MG/PR/MT,-23.55920259,-51.43886427
1084145,MARACANAU,CE, Demais Regioes,-3.845743,-38.577752
1021386,UBERLANDIA,MG, MG/PR/MT,-18.9219095,-48.332013
1023292,SAO LUIZ GONZAGA,RS, Demais Regioes,-28.40848,-54.950768
1099989,SINOP,MT, MG/PR/MT,-11.865832,-55.500619
1045101,PIQUETE,SP, SP/RJ,-22.615701,-45.173196
1018821,SAO PAULO,SP, SP/RJ,-23.64661018,-46.66299901
1044586,TAPURAH,MT, MG/PR/MT,-12.7395511,-56.51311675
1064035,CONTAGEM,MG, MG/PR/MT,-19.8736491,-44.0545394
1111042,Cambira,PR, MG/PR/MT,-23.595152,-51.578592
1058140,SAO BERNARDO DO CAMPO,SP, SP/RJ,-23.7139283,-46.5313253
642940,MACAE,RJ, SP/RJ,-22.38283687,-41.77580053
1104758,TAUBATE,SP, SP/RJ,-23.05044596,-45.60187338
1084080,CAMPINA GRANDE DO SUL,PR, MG/PR/MT,-25.363581,-49.099765
1023998,CHAPADAO DO SUL,MS, Demais Regioes,-18.79473113,-52.61929177
1028240,TAPIRATIBA,SP, SP/RJ,-21.46629954,-46.75259009
1093924,BELO HORIZONTE,MG, MG/PR/MT,-19.88271423,-43.95753186
256889,SAO JOSE DO RIO PRETO,SP, SP/RJ,-20.798247,-49.366634
18694,FORTALEZA,CE, Regioes Metropolitanas,-3.74130328,-38.50023888
1030666,RIBEIRAO PRETO,SP, SP/RJ,-21.143395,-47.788553
1116180,PIRASSUNUNGA,SP, SP/RJ,-22.0116135,-47.42560653
1058764,ERVAL SECO,RS, Demais Regioes,-27.5509623,-53.5059509
1055156,MISSAL,PR, MG/PR/MT,-25.094374,-54.240969
1100007,CAMPO GRANDE,MS, Regioes Metropolitanas,-20.469217,-54.513971
1038171,APUCARANA,PR, MG/PR/MT,-23.567263,-51.52191
1057022,SAO JOSE DO RIO PRETO,SP, SP/RJ,-20.8061709,-49.4263455
1023218,JOSE BONIFACIO,SP, SP/RJ,-21.05225896,-49.69007235
642606,PIRAI,RJ, SP/RJ,-22.581646,-44.025858
1020184,ROLANDIA,PR, MG/PR/MT,-23.31627,-51.374582
1039231,OSASCO,SP, SP/RJ,-23.5639112,-46.79610694
1023731,SAO MATEUS DO SUL,PR, MG/PR/MT,-25.869106,-50.39696
1036335,RONDONOPOLIS,MT, MG/PR/MT,-16.687329,-54.668016
514080,FEIRA DE SANTANA,BA, Regioes Metropolitanas,-12.25326006,-38.93218819
1017458,GARANHUNS,PE, Demais Regioes,-8.87863509,-36.47699204
1020461,CARAGUATATUBA,SP, SP/RJ,-23.63976854,-45.43129087
5860,MANAUS,AM, Regioes Metropolitanas,-3.076791,-60.024339
1102195,ARAPIRACA,AL, Demais Regioes,-9.73975,-36.641613
43427,SANTO ANDRE,SP, SP/RJ,-23.6517626,-46.511414
597422,CARANGOLA,MG, MG/PR/MT,-20.729702,-42.035729
1050480,TAUBATE,SP, SP/RJ,-23.03414771,-45.61290699
1024579,ITABAIANA,SE, Regioes Metropolitanas,-10.685404,-37.433677
1024218,OLIMPIA,SP, SP/RJ,-20.738964,-48.917131
1042961,ITAMARAJU,BA, Demais Regioes,-17.001244,-39.550798
1033683,CAMPO GRANDE,MS, Regioes Metropolitanas,-20.521056,-54.620199
1033904,CAMPO GRANDE,MS, Regioes Metropolitanas,-20.4556451,-54.68173144
1031605,JOAO PESSOA,PB, Regioes Metropolitanas,-7.16452269,-34.85118255
1028591,SANTA MARIA,RS, Demais Regioes,-29.70886292,-53.8127114
1016922,MARILIA,SP, SP/RJ,-22.21119536,-49.95305903
1042357,FORMOSA,GO, Regioes Metropolitanas,-15.555658,-47.338031
883956,GUARULHOS,SP, SP/RJ,-23.457815,-46.568748
1040138,PAUDALHO,PE, Regioes Metropolitanas,-7.921463,-35.159435
1040834,PORTO FELIZ,SP, SP/RJ,-23.24012092,-47.51714597
1023086,SAO PAULO,SP, SP/RJ,-23.63134379,-46.58508265
130710,BETIM,MG, MG/PR/MT,-19.964606,-44.196572
1038148,CAXIAS DO SUL,RS, Demais Regioes,-29.1809997,-51.15647482
565504,CAMARAGIBE,PE, Regioes Metropolitanas,-8.019477,-34.974117
1086487,CONTAGEM,MG, MG/PR/MT,-19.94676,-44.05183
629642,LAGOA SANTA,MG, MG/PR/MT,-19.646887,-43.904876
800538,RIO DE JANEIRO,RJ, SP/RJ,-23.016902,-43.47405
59986,SAO PAULO,SP, SP/RJ,-23.60774757,-46.62780197
606359,VOTORANTIM,SP, SP/RJ,-23.529684,-47.43932
